ID,restaurantID,IDCustomer,rating,content
128,11,12,3.5,Prezzi onesti e piatti ben presentati.
129,11,767,4.5,Locale accogliente e atmosfera rilassante.
130,11,257,3.5,Porzioni abbondanti e sapori genuini.
131,11,324,2.5,Locale carino ma nulla di speciale.
132,11,917,4.5,Ottima atmosfera per una serata romantica.
133,11,939,3.5,Ottima atmosfera per una serata romantica.
134,11,261,2.0,Personale scortese peccato perché il cibo era buono.
135,11,7,1.0,Pessimo rapporto qualità/prezzo.
136,12,136,1.0,Esperienza negativa non tornerò.
137,12,971,4.0,Locale accogliente e atmosfera rilassante.
138,12,93,0.5,Cibo senza sapore.
139,12,890,2.0,Tavoli sporchi e servizio lento.
140,12,843,4.5,Il migliore della zona!
141,12,472,3.5,Ci tornerò sicuramente.
142,12,834,1.5,Esperienza negativa non tornerò.
143,12,297,2.0,Personale scortese peccato perché il cibo era buono.
144,12,376,3.0,Buono ma potrebbe migliorare.
145,12,35,3.5,Il dolce era spettacolare!
146,13,130,1.5,Troppo rumoroso per i miei gusti.
147,13,989,0.5,Troppo rumoroso per i miei gusti.
148,13,452,1.5,Esperienza negativa non tornerò.
149,13,272,4.0,Fantastico per una cena tra amici.
150,13,938,1.5,Cibo senza sapore.
151,13,244,2.0,Troppo rumoroso per i miei gusti.
152,13,727,3.0,Locale carino ma nulla di speciale.
153,13,235,2.5,Piatti nella media.
154,13,238,3.5,Prezzi onesti e piatti ben presentati.
155,13,380,2.5,Menù vario ma niente che mi abbia colpito.
156,13,464,3.0,Buono ma potrebbe migliorare.
157,13,998,4.5,Esperienza fantastica personale gentile.
158,13,740,0.5,Tempi di attesa troppo lunghi.
159,13,201,4.5,Tutto perfetto consigliato!
160,13,973,1.5,Esperienza negativa non tornerò.
161,14,818,4.0,Fantastico per una cena tra amici.
162,14,320,2.5,Qualità media prezzi alti.
163,14,708,2.5,Piatti nella media.
164,14,847,2.0,Pessimo rapporto qualità/prezzo.
165,14,527,4.5,Ottima atmosfera per una serata romantica.
166,14,991,0.5,Cibo senza sapore.
167,14,199,3.0,Buon posto per una pausa pranzo veloce.
168,14,427,2.0,Non consiglio questo posto.
169,14,140,4.5,Piatti curati nei minimi dettagli.
170,15,143,2.5,Piatti nella media.
171,15,861,4.0,Piatti curati nei minimi dettagli.
172,15,235,2.0,Personale scortese peccato perché il cibo era buono.
173,15,929,3.5,Porzioni abbondanti e sapori genuini.
174,15,611,4.0,Fantastico per una cena tra amici.
175,15,953,2.0,Porzioni ridicole rispetto al prezzo.
176,15,944,4.5,Esperienza fantastica personale gentile.
177,15,995,4.0,Ottimo servizio e cibo delizioso!
178,16,92,3.5,Prezzi onesti e piatti ben presentati.
179,16,169,3.5,Tutto perfetto consigliato!
180,16,740,2.0,Delusione totale.
181,16,815,2.0,Delusione totale.
182,16,367,3.5,Piatti curati nei minimi dettagli.
183,16,670,0.5,Personale scortese peccato perché il cibo era buono.
184,16,188,2.0,Porzioni ridicole rispetto al prezzo.
185,16,123,2.5,Non all'altezza delle aspettative.
186,16,62,2.5,Esperienza discreta.
187,16,439,2.0,Non consiglio questo posto.
188,16,506,2.5,Buon posto per una pausa pranzo veloce.
189,17,82,4.5,Ci tornerò sicuramente.
190,17,675,0.5,Non consiglio questo posto.
191,17,393,1.0,Tempi di attesa troppo lunghi.
192,17,812,3.5,Il migliore della zona!
193,17,53,2.5,Buono ma potrebbe migliorare.
194,17,60,4.0,Servizio impeccabile davvero soddisfatto.
195,17,771,1.5,Tempi di attesa troppo lunghi.
196,17,853,2.0,Troppo rumoroso per i miei gusti.
197,17,850,3.0,Piatti nella media.
198,17,271,4.0,Piatti curati nei minimi dettagli.
199,17,495,0.5,Tempi di attesa troppo lunghi.
200,17,163,3.5,Prezzi onesti e piatti ben presentati.
201,17,371,1.5,Personale scortese peccato perché il cibo era buono.
202,17,965,2.0,Porzioni ridicole rispetto al prezzo.
203,17,988,5.0,Ci tornerò sicuramente.
204,18,960,2.5,Servizio un po' freddo ma veloce.
205,18,246,0.5,Porzioni ridicole rispetto al prezzo.
206,18,533,4.5,Il dolce era spettacolare!
207,18,184,5.0,Ci tornerò sicuramente.
208,18,132,1.5,Delusione totale.
209,18,798,4.0,Fantastico per una cena tra amici.
210,18,119,1.0,Pessimo rapporto qualità/prezzo.
211,18,138,4.0,Vasta scelta di piatti vegetariani.
212,18,961,4.0,Locale accogliente e atmosfera rilassante.
213,18,131,1.0,Non consiglio questo posto.
214,18,640,2.0,Non consiglio questo posto.
215,18,591,0.5,Porzioni ridicole rispetto al prezzo.
216,18,619,5.0,Vasta scelta di piatti vegetariani.
217,18,39,1.0,Esperienza negativa non tornerò.
218,18,72,0.5,Tavoli sporchi e servizio lento.
219,18,763,5.0,Ottima atmosfera per una serata romantica.
220,18,647,2.5,Menù vario ma niente che mi abbia colpito.
221,18,324,4.5,Esperienza fantastica personale gentile.
222,19,651,0.5,Cibo senza sapore.
223,19,122,5.0,Servizio impeccabile davvero soddisfatto.
224,19,844,3.0,Tempi di attesa accettabili.
225,19,62,5.0,Fantastico per una cena tra amici.
226,19,804,1.5,Personale scortese peccato perché il cibo era buono.
227,19,628,0.5,Tempi di attesa troppo lunghi.
228,19,11,1.5,Esperienza negativa non tornerò.
229,19,879,1.5,Cibo senza sapore.
230,19,612,3.5,Ingredienti freschissimi e di qualità.
231,19,761,2.5,Locale carino ma nulla di speciale.
232,19,430,1.5,Esperienza negativa non tornerò.
233,19,733,4.5,Locale accogliente e atmosfera rilassante.
234,19,702,3.5,Ottima atmosfera per una serata romantica.
235,19,982,1.0,Non consiglio questo posto.
236,19,132,1.0,Esperienza negativa non tornerò.
237,19,313,2.5,Servizio un po' freddo ma veloce.
238,19,732,5.0,Servizio impeccabile davvero soddisfatto.
239,19,985,3.5,Ottima atmosfera per una serata romantica.
240,19,652,3.0,Locale carino ma nulla di speciale.
241,20,389,4.0,Tutto perfetto consigliato!
242,20,334,4.5,Fantastico per una cena tra amici.
243,20,928,2.5,Esperienza discreta.
244,20,584,3.0,Esperienza discreta.
245,20,161,2.0,Tempi di attesa troppo lunghi.
246,20,566,1.0,Cibo senza sapore.
247,20,307,2.5,Menù vario ma niente che mi abbia colpito.
248,20,625,5.0,Il migliore della zona!
249,20,256,3.0,Esperienza discreta.
250,20,578,2.0,Esperienza negativa non tornerò.
251,20,737,3.0,Servizio un po' freddo ma veloce.
252,20,418,2.5,Buono ma potrebbe migliorare.
253,20,664,2.5,Piatti nella media.
254,20,174,0.5,Tempi di attesa troppo lunghi.
255,20,873,1.5,Non consiglio questo posto.
256,20,705,2.5,Buon posto per una pausa pranzo veloce.
257,20,528,5.0,Vasta scelta di piatti vegetariani.
258,20,406,0.5,Troppo rumoroso per i miei gusti.
259,21,336,3.0,Esperienza discreta.
260,21,146,2.5,Esperienza discreta.
261,21,609,4.5,Ingredienti freschissimi e di qualità.
262,21,863,2.5,Locale carino ma nulla di speciale.
263,21,855,1.5,Cibo senza sapore.
264,21,213,3.0,Menù vario ma niente che mi abbia colpito.
265,21,254,4.5,Servizio impeccabile davvero soddisfatto.
266,21,760,2.0,Esperienza negativa non tornerò.
267,21,473,3.0,Non all'altezza delle aspettative.
268,21,70,3.0,Locale carino ma nulla di speciale.
269,21,182,4.0,Fantastico per una cena tra amici.
270,21,103,4.5,Piatti curati nei minimi dettagli.
271,21,720,2.5,Piatti nella media.
272,21,700,2.0,Cibo senza sapore.
273,21,171,3.0,Buono ma potrebbe migliorare.
274,21,474,3.0,Buono ma potrebbe migliorare.
275,21,781,2.0,Cibo senza sapore.
276,21,223,5.0,Ingredienti freschissimi e di qualità.
277,22,770,1.5,Delusione totale.
278,22,863,2.5,Non all'altezza delle aspettative.
279,22,865,0.5,Porzioni ridicole rispetto al prezzo.
280,22,330,1.5,Pessimo rapporto qualità/prezzo.
281,22,761,3.0,Qualità media prezzi alti.
282,22,352,3.0,Qualità media prezzi alti.
283,22,681,3.5,Piatti curati nei minimi dettagli.
284,22,182,4.0,Vasta scelta di piatti vegetariani.
285,22,62,3.5,Il dolce era spettacolare!
286,22,235,3.0,Non all'altezza delle aspettative.
287,23,365,3.5,Ottimo servizio e cibo delizioso!
288,23,104,0.5,Tempi di attesa troppo lunghi.
289,23,943,2.0,Personale scortese peccato perché il cibo era buono.
290,23,931,2.5,Locale carino ma nulla di speciale.
291,23,367,3.5,Porzioni abbondanti e sapori genuini.
292,23,203,4.0,Piatti curati nei minimi dettagli.
293,23,775,5.0,Il dolce era spettacolare!
294,23,560,3.0,Esperienza discreta.
295,23,350,3.0,Non all'altezza delle aspettative.
296,23,9,4.0,Servizio impeccabile davvero soddisfatto.
297,23,57,5.0,Vasta scelta di piatti vegetariani.
298,23,743,2.5,Qualità media prezzi alti.
299,23,58,1.5,Cibo senza sapore.
300,24,597,3.5,Vasta scelta di piatti vegetariani.
301,24,194,4.5,Esperienza fantastica personale gentile.
302,24,994,2.0,Porzioni ridicole rispetto al prezzo.
303,24,24,5.0,Il dolce era spettacolare!
304,24,292,4.5,Il migliore della zona!
305,24,815,1.5,Non consiglio questo posto.
306,24,586,3.0,Servizio un po' freddo ma veloce.
307,24,939,4.0,Ottima atmosfera per una serata romantica.
308,24,784,4.0,Esperienza fantastica personale gentile.
309,24,466,1.5,Tavoli sporchi e servizio lento.
310,25,99,4.5,Ottimo servizio e cibo delizioso!
311,25,290,0.5,Porzioni ridicole rispetto al prezzo.
312,25,873,3.0,Servizio un po' freddo ma veloce.
313,25,163,0.5,Non consiglio questo posto.
314,25,365,3.0,Esperienza discreta.
315,25,448,2.5,Menù vario ma niente che mi abbia colpito.
316,25,143,0.5,Troppo rumoroso per i miei gusti.
317,26,148,4.5,Piatti curati nei minimi dettagli.
318,26,159,2.0,Troppo rumoroso per i miei gusti.
319,26,883,1.5,Delusione totale.
320,26,308,3.0,Locale carino ma nulla di speciale.
321,26,188,0.5,Tempi di attesa troppo lunghi.
322,26,463,3.5,Piatti curati nei minimi dettagli.
323,26,728,1.5,Personale scortese peccato perché il cibo era buono.
324,26,484,1.5,Porzioni ridicole rispetto al prezzo.
325,26,317,1.0,Non consiglio questo posto.
326,26,10,1.5,Porzioni ridicole rispetto al prezzo.
327,26,79,3.5,Porzioni abbondanti e sapori genuini.
328,26,954,1.0,Esperienza negativa non tornerò.
329,27,437,1.0,Esperienza negativa non tornerò.
330,27,351,3.0,Piatti nella media.
331,27,904,4.5,Il dolce era spettacolare!
332,27,75,2.0,Delusione totale.
333,27,304,4.5,Il dolce era spettacolare!
334,27,423,2.5,Piatti nella media.
335,27,828,5.0,Ottima atmosfera per una serata romantica.
336,27,950,5.0,Il migliore della zona!
337,27,51,1.0,Porzioni ridicole rispetto al prezzo.
338,27,496,0.5,Personale scortese peccato perché il cibo era buono.
339,27,153,2.5,Piatti nella media.
340,27,128,2.0,Pessimo rapporto qualità/prezzo.
341,27,615,1.5,Esperienza negativa non tornerò.
342,27,581,4.0,Ingredienti freschissimi e di qualità.
343,28,459,4.0,Il migliore della zona!
344,28,410,3.5,Il dolce era spettacolare!
345,28,265,4.5,Ingredienti freschissimi e di qualità.
346,28,557,1.5,Personale scortese peccato perché il cibo era buono.
347,28,906,1.5,Tempi di attesa troppo lunghi.
348,28,590,3.0,Non all'altezza delle aspettative.
349,28,910,4.5,Fantastico per una cena tra amici.
350,28,375,4.5,Piatti curati nei minimi dettagli.
351,28,924,4.5,Fantastico per una cena tra amici.
352,28,10,1.5,Tempi di attesa troppo lunghi.
353,29,462,0.5,Troppo rumoroso per i miei gusti.
354,29,585,3.5,Tutto perfetto consigliato!
355,29,560,1.5,Non consiglio questo posto.
356,29,255,4.0,Ingredienti freschissimi e di qualità.
357,29,337,5.0,Servizio impeccabile davvero soddisfatto.
358,29,382,0.5,Tavoli sporchi e servizio lento.
359,29,372,1.0,Esperienza negativa non tornerò.
360,29,587,2.5,Buon posto per una pausa pranzo veloce.
361,29,361,3.5,Ingredienti freschissimi e di qualità.
362,30,604,3.0,Menù vario ma niente che mi abbia colpito.
363,30,522,2.0,Troppo rumoroso per i miei gusti.
364,30,677,0.5,Esperienza negativa non tornerò.
365,30,50,3.0,Non all'altezza delle aspettative.
366,30,800,2.5,Buon posto per una pausa pranzo veloce.
367,30,202,1.5,Pessimo rapporto qualità/prezzo.
368,30,874,5.0,Il migliore della zona!
369,30,200,4.5,Ingredienti freschissimi e di qualità.
370,30,477,2.0,Tavoli sporchi e servizio lento.
371,31,197,3.0,Piatti nella media.
372,31,909,3.5,Vasta scelta di piatti vegetariani.
373,31,897,2.5,Buon posto per una pausa pranzo veloce.
374,31,916,2.0,Personale scortese peccato perché il cibo era buono.
375,31,126,2.5,Menù vario ma niente che mi abbia colpito.
376,31,286,1.0,Non consiglio questo posto.
377,31,353,4.5,Piatti curati nei minimi dettagli.
378,31,290,3.5,Ottima atmosfera per una serata romantica.
379,31,905,2.0,Esperienza negativa non tornerò.
380,31,793,2.0,Esperienza negativa non tornerò.
381,31,868,4.5,Tutto perfetto consigliato!
382,31,95,1.5,Pessimo rapporto qualità/prezzo.
383,31,88,4.5,Fantastico per una cena tra amici.
384,32,84,0.5,Cibo senza sapore.
385,32,13,2.0,Troppo rumoroso per i miei gusti.
386,32,260,1.5,Tempi di attesa troppo lunghi.
387,32,67,3.0,Buon posto per una pausa pranzo veloce.
388,32,7,2.5,Piatti nella media.
389,32,494,2.5,Qualità media prezzi alti.
390,32,23,2.0,Tempi di attesa troppo lunghi.
391,32,183,4.5,Vasta scelta di piatti vegetariani.
392,32,471,1.5,Delusione totale.
393,32,194,4.0,Ottimo servizio e cibo delizioso!
394,32,159,5.0,Locale accogliente e atmosfera rilassante.
395,32,488,3.0,Servizio un po' freddo ma veloce.
396,33,691,4.0,Esperienza fantastica personale gentile.
397,33,231,2.0,Tempi di attesa troppo lunghi.
398,33,907,3.5,Tutto perfetto consigliato!
399,33,837,3.5,Prezzi onesti e piatti ben presentati.
400,33,778,0.5,Personale scortese peccato perché il cibo era buono.
401,33,955,4.5,Vasta scelta di piatti vegetariani.
402,33,104,0.5,Non consiglio questo posto.
403,33,897,0.5,Porzioni ridicole rispetto al prezzo.
404,33,864,4.0,Il migliore della zona!
405,33,571,5.0,Tutto perfetto consigliato!
406,33,341,3.5,Tutto perfetto consigliato!
407,33,107,2.0,Non consiglio questo posto.
408,33,531,3.0,Qualità media prezzi alti.
409,33,730,1.5,Personale scortese peccato perché il cibo era buono.
410,33,279,3.5,Locale accogliente e atmosfera rilassante.
411,33,40,0.5,Pessimo rapporto qualità/prezzo.
412,33,388,2.0,Porzioni ridicole rispetto al prezzo.
413,33,276,2.0,Non consiglio questo posto.
414,33,71,3.5,Il dolce era spettacolare!
415,34,602,5.0,Vasta scelta di piatti vegetariani.
416,34,633,4.0,Locale accogliente e atmosfera rilassante.
417,34,961,3.0,Esperienza discreta.
418,34,506,4.5,Vasta scelta di piatti vegetariani.
419,34,939,0.5,Esperienza negativa non tornerò.
420,34,15,2.5,Piatti nella media.
421,34,566,1.5,Non consiglio questo posto.
422,34,371,2.0,Cibo senza sapore.
423,34,502,3.0,Locale carino ma nulla di speciale.
424,34,239,1.5,Troppo rumoroso per i miei gusti.
425,34,39,4.0,Locale accogliente e atmosfera rilassante.
426,34,691,4.0,Ingredienti freschissimi e di qualità.
427,34,486,3.0,Buono ma potrebbe migliorare.
428,34,455,3.5,Piatti curati nei minimi dettagli.
429,34,137,5.0,Piatti curati nei minimi dettagli.
430,34,152,2.5,Qualità media prezzi alti.
431,34,374,1.0,Personale scortese peccato perché il cibo era buono.
432,34,326,2.5,Buon posto per una pausa pranzo veloce.
433,34,789,1.0,Tempi di attesa troppo lunghi.
434,34,14,5.0,Ottimo servizio e cibo delizioso!
435,35,884,2.5,Buono ma potrebbe migliorare.
436,35,883,4.0,Ingredienti freschissimi e di qualità.
437,35,92,1.0,Esperienza negativa non tornerò.
438,35,910,2.0,Cibo senza sapore.
439,35,554,3.5,Il migliore della zona!
440,35,770,2.0,Tavoli sporchi e servizio lento.
441,36,634,0.5,Pessimo rapporto qualità/prezzo.
442,36,154,1.5,Tavoli sporchi e servizio lento.
443,36,996,1.5,Porzioni ridicole rispetto al prezzo.
444,36,713,4.0,Tutto perfetto consigliato!
445,36,412,2.0,Tavoli sporchi e servizio lento.
446,36,312,3.0,Menù vario ma niente che mi abbia colpito.
447,36,274,2.0,Personale scortese peccato perché il cibo era buono.
448,36,362,2.0,Pessimo rapporto qualità/prezzo.
449,36,763,3.0,Piatti nella media.
450,36,70,3.0,Menù vario ma niente che mi abbia colpito.
451,37,855,4.0,Prezzi onesti e piatti ben presentati.
452,37,120,3.0,Locale carino ma nulla di speciale.
453,37,379,2.0,Troppo rumoroso per i miei gusti.
454,37,346,3.5,Vasta scelta di piatti vegetariani.
455,37,99,0.5,Delusione totale.
456,37,336,4.0,Prezzi onesti e piatti ben presentati.
457,37,677,4.0,Esperienza fantastica personale gentile.
458,37,944,2.0,Porzioni ridicole rispetto al prezzo.
459,37,767,4.5,Ci tornerò sicuramente.
460,37,994,1.5,Tavoli sporchi e servizio lento.
461,37,966,3.5,Ottimo servizio e cibo delizioso!
462,37,875,1.0,Non consiglio questo posto.
463,38,582,0.5,Tavoli sporchi e servizio lento.
464,38,246,2.0,Troppo rumoroso per i miei gusti.
465,38,885,4.0,Piatti curati nei minimi dettagli.
466,38,739,5.0,Ingredienti freschissimi e di qualità.
467,38,488,1.5,Esperienza negativa non tornerò.
468,38,548,2.5,Servizio un po' freddo ma veloce.
469,38,792,2.5,Locale carino ma nulla di speciale.
470,38,757,3.5,Servizio impeccabile davvero soddisfatto.
471,38,301,4.0,Prezzi onesti e piatti ben presentati.
472,38,564,1.5,Cibo senza sapore.
473,38,932,1.0,Personale scortese peccato perché il cibo era buono.
474,38,204,3.0,Esperienza discreta.
475,38,770,5.0,Tutto perfetto consigliato!
476,39,22,3.5,Ottimo servizio e cibo delizioso!
477,39,445,3.0,Servizio un po' freddo ma veloce.
478,39,939,1.0,Non consiglio questo posto.
479,39,548,5.0,Locale accogliente e atmosfera rilassante.
480,39,120,2.0,Pessimo rapporto qualità/prezzo.
481,39,551,1.0,Delusione totale.
482,39,556,3.0,Locale carino ma nulla di speciale.
483,39,969,3.0,Non all'altezza delle aspettative.
484,39,668,3.5,Prezzi onesti e piatti ben presentati.
485,39,143,5.0,Esperienza fantastica personale gentile.
486,39,695,3.0,Piatti nella media.
487,40,231,0.5,Esperienza negativa non tornerò.
488,40,820,4.0,Ottimo servizio e cibo delizioso!
489,40,805,1.0,Non consiglio questo posto.
490,40,868,5.0,Tutto perfetto consigliato!
491,40,241,2.5,Esperienza discreta.
492,40,389,2.0,Porzioni ridicole rispetto al prezzo.
493,40,850,5.0,Porzioni abbondanti e sapori genuini.
494,40,561,1.5,Esperienza negativa non tornerò.
495,40,435,5.0,Vasta scelta di piatti vegetariani.
496,40,456,3.5,Esperienza fantastica personale gentile.
497,40,809,3.5,Piatti curati nei minimi dettagli.
498,40,192,2.5,Locale carino ma nulla di speciale.
499,40,707,2.5,Buon posto per una pausa pranzo veloce.
500,40,31,3.0,Locale carino ma nulla di speciale.
501,40,455,4.5,Tutto perfetto consigliato!
502,40,123,5.0,Fantastico per una cena tra amici.
503,41,663,1.0,Troppo rumoroso per i miei gusti.
504,41,71,3.5,Prezzi onesti e piatti ben presentati.
505,41,890,2.0,Tavoli sporchi e servizio lento.
506,41,736,3.5,Ottima atmosfera per una serata romantica.
507,41,255,4.0,Ottima atmosfera per una serata romantica.
508,41,437,1.5,Troppo rumoroso per i miei gusti.
509,41,910,4.5,Ingredienti freschissimi e di qualità.
510,41,852,4.5,Esperienza fantastica personale gentile.
511,41,276,5.0,Esperienza fantastica personale gentile.
512,41,388,4.5,Ottimo servizio e cibo delizioso!
513,41,551,1.5,Troppo rumoroso per i miei gusti.
514,41,220,5.0,Servizio impeccabile davvero soddisfatto.
515,41,304,1.0,Esperienza negativa non tornerò.
516,42,633,5.0,Esperienza fantastica personale gentile.
517,42,467,2.0,Personale scortese peccato perché il cibo era buono.
518,42,78,0.5,Personale scortese peccato perché il cibo era buono.
519,42,683,3.5,Piatti curati nei minimi dettagli.
520,42,79,3.5,Il dolce era spettacolare!
521,42,229,2.0,Pessimo rapporto qualità/prezzo.
522,42,384,0.5,Esperienza negativa non tornerò.
523,42,274,3.0,Qualità media prezzi alti.
524,42,116,5.0,Porzioni abbondanti e sapori genuini.
525,42,278,2.0,Non consiglio questo posto.
526,42,552,1.0,Esperienza negativa non tornerò.
527,42,285,1.0,Tavoli sporchi e servizio lento.
528,42,603,0.5,Tempi di attesa troppo lunghi.
529,43,84,5.0,Locale accogliente e atmosfera rilassante.
530,43,862,1.5,Delusione totale.
531,43,893,3.0,Qualità media prezzi alti.
532,43,212,4.5,Prezzi onesti e piatti ben presentati.
533,43,291,4.5,Ingredienti freschissimi e di qualità.
534,43,159,3.0,Buon posto per una pausa pranzo veloce.
535,43,563,1.5,Esperienza negativa non tornerò.
536,43,813,1.5,Troppo rumoroso per i miei gusti.
537,43,447,3.0,Buono ma potrebbe migliorare.
538,43,173,2.0,Porzioni ridicole rispetto al prezzo.
